# mu sigma value error
-0.05	0.00001	9.51E-07	6.09E-09
-0.05	1.34138E-05	9.61E-07	6.20E-09
-0.05	1.79929E-05	9.70E-07	6.17E-09
-0.05	2.41353E-05	9.67E-07	6.41E-09
-0.05	3.23745E-05	9.58E-07	6.25E-09
-0.05	4.34264E-05	9.71E-07	6.23E-09
-0.05	5.82511E-05	9.54E-07	6.11E-09
-0.05	7.81367E-05	9.61E-07	6.30E-09
-0.05	0.000104811	9.65E-07	6.20E-09
-0.05	0.000140591	9.72E-07	6.44E-09
-0.05	0.000188585	9.66E-07	6.24E-09
-0.05	0.000252963	9.54E-07	6.11E-09
-0.05	0.000339319	9.57E-07	6.12E-09
-0.05	0.000455155	9.61E-07	6.12E-09
-0.05	0.000610534	9.66E-07	6.06E-09
-0.05	0.000818956	9.62E-07	6.28E-09
-0.05	0.001098528	9.53E-07	6.22E-09
-0.05	0.001473539	9.64E-07	6.19E-09
-0.05	0.001976571	9.65E-07	6.37E-09
-0.05	0.002651326	9.62E-07	6.32E-09
-0.05	0.003556426	9.60E-07	6.27E-09
-0.05	0.004770506	9.71E-07	6.25E-09
-0.05	0.006399045	9.76E-07	6.16E-09
-0.05	0.008583529	9.79E-07	6.48E-09
-0.05	0.011513744	1.02E-06	7.24E-09
-0.05	0.015444265	1.44E-06	1.36E-07
-0.05	0.020716574	4.04E-06	3.73E-07
-0.05	0.027788725	8.32E-06	3.98E-07
-0.05	0.037275143	1.3653E-05	6.11E-07
-0.05	0.05	1.70514E-05	7.69E-07

-0.037275143	0.00001	1.29E-06	8.39E-09
-0.037275143	1.34138E-05	1.29E-06	8.05E-09
-0.037275143	1.79929E-05	1.27E-06	7.82E-09
-0.037275143	2.41353E-05	1.28E-06	8.42E-09
-0.037275143	3.23745E-05	1.30E-06	8.50E-09
-0.037275143	4.34264E-05	1.30E-06	8.30E-09
-0.037275143	5.82511E-05	1.28E-06	8.36E-09
-0.037275143	7.81367E-05	1.30E-06	8.44E-09
-0.037275143	0.000104811	1.27E-06	8.31E-09
-0.037275143	0.000140591	1.28E-06	8.21E-09
-0.037275143	0.000188585	1.30E-06	8.61E-09
-0.037275143	0.000252963	1.29E-06	8.31E-09
